Timestamp                       Thread     Type        Activity             PID    TTL  
2022-11-25 18:00:05.976215+0100 0x83e9f    Fault       0x1b73ed             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (91.5, 453.5)
2022-11-25 18:00:07.202433+0100 0x83e9f    Fault       0x1b7407             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (95.0, 717.0)
2022-11-25 18:00:07.552002+0100 0x83e9f    Fault       0x1b7408             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (100.5, 714.0)
2022-11-25 18:00:08.062906+0100 0x83e9f    Fault       0x1b7409             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (74.5, 574.5)
2022-11-25 18:00:08.804120+0100 0x83e9f    Fault       0x1b7425             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (100.5, 449.0)
2022-11-25 18:00:10.021068+0100 0x83e9f    Fault       0x1b742f             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (73.0, 398.5)
2022-11-25 18:00:10.068574+0100 0x83e9f    Fault       0x1b7450             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Selected layer.
2022-11-25 18:00:12.515951+0100 0x83e9f    Fault       0x1b7452             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1286.0, 943.0)
2022-11-25 18:00:12.570563+0100 0x83e9f    Fault       0x1b7453             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Toggled ResponsivityControlView.
2022-11-25 18:00:14.112482+0100 0x83e9f    Fault       0x1b7455             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (1273.5, 42.5)
2022-11-25 18:00:14.289244+0100 0x83e9f    Fault       0x1b7456             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] The participant finishes the task. Duration: 0:23 min
2022-11-25 18:00:16.335490+0100 0x83e9f    Fault       0x1b7458             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Touch began at (32.0, 53.5)
2022-11-25 18:00:16.447680+0100 0x83e9f    Fault       0x1b7459             1521   14   Flex Studio: [ch.ethz.hci.2022.Flex-Studio:Study] Dismissed EditorView.
==========
/Users/alexanderzank/Library/Mobile Documents/com~apple~CloudDocs/ETH/HCI/study/1/full.logarchive
==========
